"IOBS","LANG_1","LANG_2","Eval_Brand","City","Q1a_1","Q1a_2","Q1a_3","Q1b_1","Q1b_2","Q1b_3","Q1c_1","Q1c_2","Q1d_1","Q1d_2","Q1d_3","Q1d_4","Q1e_1","Q1e_2","Q1e_3","Q1e_4","Q2b_1","Q2b_2","Q2b_3","Q2c_1","Q2c_2","Q2c_3","Q2c_4","Q2d_1","Q2d_2","Q2d_3","Q2d_4","Q2e_1","Q2e_2","Q2e_3","Q2e_4","Q2f_1","Q2f_2","Q2f_3","Q2g_1","Q2g_2","Q3a_1","Q3a_2","Q3a_3","Q3a_4","Q3a_5","Q3a_6","Q3a_7","Q3a_8","Q3a_9","Q3_2_1","Q3_2_2","Q3_2_3","Q3_2_4","Q4_1_1","Q4_1_2","Q4_1_3","Q4_1_4","Q4_1_5","Q4_1b_1","Q4_1b_2","Q4_1b_3","Q4_1b_4","Q4_1b_5","iQ1a","iQ1b","iQ1d","iQ1e","iInitial","wInitial","iQ2b","iQ2c","iQ2d","iQ2e","iQ2f","iQ2g","iCallAgent","wCallAgent","iQ3a","iQ3_2","iCourtesy","wCourtesy","iQ4_1","iQ4_1b","iOverallImpression","wOverallImpression","iOverallScore","wOverallScore","BNR1_1","BNR1_2","BNR1_3","BNR1_4","BNR1_5","BNR1_6","BNR1_7","BNR1_8","BNR1_9","BNR1_10","BNR1_11"
207690623,0,1,1,2,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,100,100,50,100,4,87.5000,100,100,100,0,100,100,6,83.3333,100,100,2,100.0000,100,100,2,100.0000,14,89.2857,1,0,0,0,0,0,0,0,0,1,0,
207691585,0,1,4,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,100,0,4,25.0000,50,75,100,100,100,100,6,87.5000,60,50,2,55.0000,75,50,2,62.5000,14,61.4286,0,0,0,1,0,0,0,0,0,1,0,
207699295,0,1,7,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,100,100,50,25,4,68.7500,100,50,50,50,50,100,6,66.6667,100,75,2,87.5000,100,75,2,87.5000,14,73.2143,0,0,0,0,0,0,1,0,0,1,0,
207726498,0,1,4,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,50,100,0,4,37.5000,100,100,100,100,100,100,6,100.0000,60,25,2,42.5000,100,75,2,87.5000,14,72.1429,0,0,0,1,0,0,0,0,0,1,0,
207817301,0,1,7,3,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,100,100,0,100,4,75.0000,100,75,100,100,100,100,6,95.8333,40,50,2,45.0000,100,75,2,87.5000,14,81.4286,0,0,0,0,0,0,1,0,0,0,1,
207818487,0,1,4,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,100,0,50,25,4,43.7500,100,75,100,50,100,100,6,87.5000,60,25,2,42.5000,75,75,2,75.0000,14,66.7857,0,0,0,1,0,0,0,0,0,1,0,
207823506,0,1,5,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,100,100,100,100,4,100.0000,100,100,100,100,100,100,6,100.0000,120,100,2,110.0000,100,100,2,100.0000,14,101.4286,0,0,0,0,1,0,0,0,0,1,0,
207889805,0,1,7,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,100,100,0,100,4,75.0000,100,100,100,25,100,100,6,87.5000,40,25,2,32.5000,100,75,2,87.5000,14,76.0714,0,0,0,0,0,0,1,0,1,0,0,
207920294,0,1,4,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,100,100,100,100,4,100.0000,100,75,100,100,100,100,6,95.8333,20,50,2,35.0000,75,75,2,75.0000,14,85.3571,0,0,0,1,0,0,0,0,0,1,0,
207932499,0,1,6,3,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,100,100,0,100,4,75.0000,100,75,100,100,100,100,6,95.8333,60,25,2,42.5000,100,100,2,100.0000,14,82.8571,0,0,0,0,0,1,0,0,0,0,1,
