"IOBS","LANG_1","LANG_2","Eval_Brand","City","info_1","info_2","info_3","info_4","info_5","info_6","Q1_1","Q1_2","Q1_3","Q1_4","Q1_5","Q1_6","Q1_7","Q1_8","Q2_1_1","Q2_1_2","Q2_1_3","Q2_1_4","Q2_1_5","Q2_1_6","Q2_1_7","Q2_2_1","Q2_2_2","Q2_2_3","Q2_2_4","Q2_2_5","Q2_2_6","Q2_2_7","Q2_3_1","Q2_3_2","Q2_3_3","Q2_3_4","Q2_3_5","Q2_3_6","Q2_3_7","Q2_4_1","Q2_4_2","Q2_4_3","Q2_4_4","Q2_4_5","Q2_4_6","Q2_4_7","Q2_5_1","Q2_5_2","Q2_5_3","Q2_5_4","Q2_5_5","Q2_5_6","Q2_5_7","Q2_6_1","Q2_6_2","Q2_6_3","Q2_6_4","Q2_6_5","Q2_6_6","Q2_6_7","Q2_7_1","Q2_7_2","Q2_7_3","Q2_7_4","Q2_7_5","Q2_7_6","Q2_7_7","Q3_1","Q3_2","Q3_3","Q4_1","Q4_2","Q4_3","Q5_1","Q5_2","Q5_3","Q5_4","Q5_5","Q6_1","Q6_2","Q6_3","Q6_4","Q6_5","iQ1","iQ2_1","iQ2_2","iQ2_3","iQ2_4","iQ2_5","iQ2_6","iQ2_7","iQ3","iQ4","iQ5","iQ6","iEvalArea","wEvalArea","iOverallScore","wOverallScore","BNR1_1","BNR1_2","BNR1_3","BNR1_4","BNR1_5","BNR1_6","BNR1_7","BNR1_8","BNR1_9","BNR1_10","BNR1_11"
207516447,0,1,6,3,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , ,1,0,0, , , ,1,0,0,0,0,1,0,0,0,0,200,25,75,50,100,0,0,0,100, ,100,100,11,68.1818,11,68.1818,0,0,0,0,0,1,0,0,0,0,1,
207516540,0,1,6,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0, , , ,0,1,0,0,0,0,1,0,0,0,100,0,75,100,50,0,0,0,100, ,75,75,11,52.2727,11,52.2727,0,0,0,0,0,1,0,0,1,0,0,
207552216,0,1,5,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0, , , ,1,0,0,0,0,1,0,0,0,0,200,75,50,100,0,0,0,0,100, ,100,100,11,65.9091,11,65.9091,0,0,0,0,1,0,0,0,0,1,0,
207552455,0,1,1,2,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , ,1,0,0, , , ,1,0,0,0,0,1,0,0,0,0,200,75,100,50,25,0,0,0,100, ,100,100,11,68.1818,11,68.1818,1,0,0,0,0,0,0,0,0,1,0,
207623435,0,1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100, ,100,75,75,11,31.8182,11,31.8182,0,0,0,1,0,0,0,0,0,1,0,
207671621,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0, , , ,0,1,0,0,0,0,1,0,0,0,100,0,0,100,0,0,0,0,100, ,75,75,11,40.9091,11,40.9091,1,0,0,0,0,0,0,0,0,1,0,
207692087,0,1,4,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0, , , ,0,1,0,0,0,0,1,0,0,0,100,50,75,0,0,100,0,0,100, ,75,75,11,52.2727,11,52.2727,0,0,0,1,0,0,0,0,0,1,0,
207699589,0,1,7,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0, , , ,0,1,0,0,0,1,0,0,0,0,100,100,0,0,75,0,0,0,100, ,75,100,11,50.0000,11,50.0000,0,0,0,0,0,0,1,0,0,1,0,
207732087,0,1,4,2,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , ,1,0,0, , , ,0,1,0,0,0,1,0,0,0,0,200,75,100,50,25,0,0,0,100, ,75,100,11,65.9091,11,65.9091,0,0,0,1,0,0,0,0,0,1,0,
207746049,0,1,7,3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0, , , ,0,1,0,0,0,1,0,0,0,0,100,100,0,0,50,75,0,0,100, ,75,100,11,54.5455,11,54.5455,0,0,0,0,0,0,1,0,0,0,1,
207833664,0,1,6,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , ,1,0,0, , , ,1,0,0,0,0,1,0,0,0,0,200,100,50,75,25,0,0,0,100, ,100,100,11,68.1818,11,68.1818,0,0,0,0,0,1,0,0,0,1,0,
207868372,0,1,7,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , ,1,0,0, , , ,1,0,0,0,0,1,0,0,0,0,100,100,50,0,25,75,0,0,100, ,100,100,11,59.0909,11,59.0909,0,0,0,0,0,0,1,0,1,0,0,
207920441,0,1,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0, , , ,0,1,0,0,0,0,1,0,0,0,100,100,0,0,0,0,0,0,100, ,75,75,11,40.9091,11,40.9091,0,0,0,1,0,0,0,0,0,1,0,
207926528,0,1,1,2,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , ,1,0,0, , , ,1,0,0,0,0,1,0,0,0,0,200,100,75,50,25,0,0,0,100, ,100,100,11,68.1818,11,68.1818,1,0,0,0,0,0,0,0,0,1,0,
207926655,0,1,5,2,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0, , , , , , , , , , , , , , ,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,250,75,0,100,50,0,25,0,100,100,100,100,12,75.0000,12,75.0000,0,0,0,0,1,0,0,0,0,1,0,
208011467,0,1,1,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0, , , ,0,1,0,0,0,1,0,0,0,0,200,75,0,100,50,0,0,0,50, ,75,100,11,59.0909,11,59.0909,1,0,0,0,0,0,0,0,0,1,0,
