"IOBS","LANG_1","LANG_2","Eval_Brand","City","SMC_1","SMC_2","SMC_3","SMC_4","Type_1","Type_2","Type_3","Type_4","Type_5","Type_6","Q1_1","Q1_2","Q1_3","Q1_4","Q2_1","Q2_2","Q2_3","Q2_4","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q4_1","Q4_2","Q4_3","Q5_1","Q5_2","Q6_1","Q6_2","Q6_3","Q6_4","Q6_5","Q6_6","Q6_7","Q6_8","Q6_9","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q8_1","Q8_2","Q9_1","Q9_2","Q9_3","Q10_1","Q10_2","Q11_1","Q11_2","Q11_3","Q11_4","Q11_5","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q13_1","Q13_2","Q13_3","Q13_4","Q13_5","iQ1","iQ2","iQ3","iQ4","iQ5","iQ6","iQ7","iQ8","iQ9","iQ10","iQ11","iQ12","iQ13","iEvalArea","wEvalArea","iOverallScore","wOverallScore","BNR1_1","BNR1_2","BNR1_3","BNR1_4","BNR1_5","BNR1_6","BNR1_7","BNR1_8","BNR1_9","BNR1_10","BNR1_11"
207608629,0,1,6,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0, , , , ,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0, , , , , ,0,0,0,1,0,0,0,1,0,0,0, ,0,50,100,0,0,0,0,0, ,25,50,11,20.4545,11,20.4545,0,0,0,0,0,1,0,0,1,0,0,
207656242,0,1,6,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0, , , , ,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0, , , , , ,0,0,1,0,0,0,1,0,0,0,0, ,50,50,100,0,0,0,100,0, ,50,75,11,38.6364,11,38.6364,0,0,0,0,0,1,0,0,0,0,1,
207690006,0,1,4,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0, , , , ,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1, , , , , , , ,0,0,1,0,0,0,0,1,0,0,0, ,100,100,100,39,0,0,0, , ,50,50,10,43.9000,10,43.9000,0,0,0,1,0,0,0,0,0,1,0,
207699810,0,1,7,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0, , , , ,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0, , , , , , , ,0,1,0,0,0,1,0,0,0,0,50, ,350,100,100,91,134,100,50, , ,75,100,10,115.0000,10,115.0000,0,0,0,0,0,0,1,0,0,1,0,
207725034,0,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0, , , , ,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0, , , , , , , ,0,1,0,0,0,0,1,0,0,0,0, ,200,100,100,39,0,100,100, , ,75,75,10,78.9000,10,78.9000,0,0,0,1,0,0,0,0,0,1,0,
207745881,0,1,7,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0, , , , ,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0, , , , , ,0,0,1,0,0,0,1,0,0,0,0, ,100,50,100,39,0,0,0,0, ,50,75,11,37.6364,11,37.6364,0,0,0,0,0,0,1,0,1,0,0,
207773335,0,1,4,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0, , , , ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0, , , , , , , ,0,1,0,0,0,0,1,0,0,0,0, ,100,100,100,26,67,100,50, , ,75,75,10,69.3000,10,69.3000,0,0,0,1,0,0,0,0,0,1,0,
207792074,0,1,7,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0, , , , ,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1, , , , , , , ,0,0,1,0,0,0,0,1,0,0,0, ,0,0,100,65,0,0,0, , ,50,50,10,26.5000,10,26.5000,0,0,0,0,0,0,1,0,0,0,1,
207894473,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , ,2,0.0000,2,0.0000,1,0,0,0,0,0,0,0,0,1,0,
207965649,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , ,2,0.0000,2,0.0000,1,0,0,0,0,0,0,0,0,1,0,
207965693,0,1,5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , ,2,0.0000,2,0.0000,0,0,0,0,1,0,0,0,0,1,0,
207979915,0,1,6,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , ,2,0.0000,2,0.0000,0,0,0,0,0,1,0,0,0,1,0,
207980335,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , ,2,0.0000,2,0.0000,1,0,0,0,0,0,0,0,0,1,0,
207980382,0,1,5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , ,2,0.0000,2,0.0000,0,0,0,0,1,0,0,0,0,1,0,
208726657,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1, , , , , , , ,0,0,0,0,1,0,0,0,0,1,0,25,100,0,0,0,0,0,0, , ,0,0,11,11.3636,11,11.3636,1,0,0,0,0,0,0,0,0,1,0,
209014156,0,1,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1, , , , , , , ,0,0,0,0,1,0,0,0,1,0,0,50,0,0,0,0,0,0,0, , ,0,25,11,6.8182,11,6.8182,0,0,0,0,0,0,1,0,0,1,0,
209195998,0,1,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , ,2,0.0000,2,0.0000,0,0,0,1,0,0,0,0,0,1,0,
210957497,0,1,4,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0, , , , ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1, , , , , , , ,0,1,0,0,0,0,1,0,0,0,0, ,0,100,100,39,0,100,0, , ,75,75,10,48.9000,10,48.9000,0,0,0,1,0,0,0,0,0,1,0,
210957852,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0, , , , ,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1, , , , , , , ,0,0,1,0,0,0,1,0,0,0,0, ,0,100,100,13,0,100,0, , ,50,75,10,43.8000,10,43.8000,1,0,0,0,0,0,0,0,0,1,0,
