"IOBS","Lang","Eval_Brand","City","Gender","Q1a","Q1b_1","Q1b_2","Q1c","Q2a","Q2b","Q2c","Q2d_1","Q2d_2","Q2d_3","Q2e_1","Q2e_2","Q2e_3","Q2f_1","Q2f_2","Q2f_3","Q3a_1","Q3a_2","Q3a_3","Q3b_1","Q3b_2","Q3b_3","Q3c_1","Q3c_2","Q3c_3","Q3d_1","Q3d_2","Q3d_3","Q3d_4","Q3d_5","Q3e_1","Q3e_2","Q3e_3","Q3f_1","Q3f_2","Q3f_3","Q3f_4","Q3g_1","Q3g_2","Q3g_3","Q3g_4","Q3h_1","Q3h_2","Q3h_3","Q3h_4","Q3i_1","Q3i_2","Q3i_3","Q3l_1","Q3l_2","Q3l_3","Q4a_1","Q4a_2","Q4a_3","Q4b_1","Q4b_2","Q4b_3","Q4c_1","Q4c_2","Q4c_3","Q4c_4","Q4c_5","Q4c_6","Q4c_7","Q4c_8","Q4c_9","Q4c_10","Q4c_11","Q4d_1","Q4d_2","Q4d_3","Q4e_1","Q4e_2","Q4e_3","Q4f_1","Q4f_2","Q4f_3","Q4f_4","Q4f_5","Q5a_1","Q5a_2","Q5a_3","Q5b_1","Q5b_2","Q5b_3","Q5c_1","Q5c_2","Q5c_3","Q5d_1","Q5d_2","Q5d_3","Q5e_1","Q5e_2","Q5f_1","Q5f_2","Q5f_3","Q5f_4","Q5g_1","Q5g_2","Q5g_3","Q5g_4","Q5g_5","Q5g_6","Q5g_7","Q5g_8","Q5g_9","Q5g_10","Q6a_1","Q6a_2","Q6a_3","Q6c_1","Q6c_2","Q6c_3","Q6c_4","Q6c_5","Q6c_6","Q6d_1","Q6d_2","Q6d_3","Q6e_1","Q6e_2","Q6e_3","Q6f_1","Q6f_2","Q6f_3","Q6g_1","Q6g_2","Q6g_3","Q7a_1","Q7a_2","Q7a_3","Q7a_4","Q7a_5","Q7c_1","Q7c_2","Q7c_3","Q7e_1","Q7e_2","Q7e_3","Q7e_4","Q7e_5","Q7f_1","Q7f_2","Q7f_3","Q7f_4","Q7f_5","Q7f_6","Q7f_7","Q7f_8","Q7f_9","Q7f_10","Q7g_1","Q7g_2","Q7g_3","Q7g_4","Q7g_5","Q7g_6","Q7g_7","Q7g_8","Q7g_9","Q7g_10","Q8a_1","Q8a_2","Q8b_1","Q8b_2","Q8b_3","Q8b_4","Q8c_1","Q8c_2","Q8c_3","Q8c_4","iQ1a","iQ1b","iQ1c","iFacility","wFacility","iQ2a","iQ2b","iQ2c","iQ2d","iQ2e","iQ2f","iInitialgreet","wInitialgreet","iQ3a","iQ3b","iQ3c","iQ3d","iQ3e","iQ3f","iQ3g","iQ3h","iQ3i","iQ3l","iCONSULTANTINTERACTION","wCONSULTANTINTERACTION","iQ4a","iQ4b","iQ4c","iQ4d","iQ4e","iQ4f","iCONSULTANTKNOWLEDGE","wCONSULTANTKNOWLEDGE","iQ5a","iQ5b","iQ5c","iQ5d","iQ5e","iQ5f","iQ5g","iClosing","wClosing","iQ6a","iQ6c","iQ6d","iQ6e","iQ6f","iQ6g","iFacilityEnvironment","wFacilityEnvironment","iQ7a","iQ7c","iQ7e","iQ7d","iQ7f","iQ7g","iOverallImpression","wOverallImpression","iQ8a","iQ8b","iQ8c","iPostVisit","wPostVisit","iOverallScore","wOverallScore","BNR1_1","BNR1_2","BNR1_3","BNR1_4","BNR1_5","BNR1_6","BNR1_7","BNR1_8","BNR1_9","BNR1_10","BNR1_11","BNR1_12"
207464248,2,5,2,2,4,0,1,3,5, ,4, , , ,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0, , ,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0, , , , ,0,0,1,0,0,0,0,3,0.0000,0, ,0, ,100,0,4,25.0000,100,0,0,20,0,50,50,0,100,50,10,37.0000,100,100,100,0,0,100,6,66.6667,100,100,100,100, ,100,55,6,92.5000,100,40,100,100,100,100,6,90.0000,100,100,100, ,50,10,5,72.0000,0, ,25,2,12.5000,42,55.9524,0,0,0,0,1,1,0,0,0,0,1,0,
207465920,2,1,2,2,1,0,1,3,5, ,4, , , ,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0, , ,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0, , , , ,0,1,0,0,100,0,0,3,33.3333,0, ,0, ,100,100,4,50.0000,50,0,0,0,0,50,25,0,50,50,10,22.5000,100,100,20,0,100,100,6,70.0000,50,100,100,100, ,100,44,6,82.3333,100,40,50, ,100,50,5,68.0000,75,50, ,75,40,20,4,46.2500,0, ,50,2,25.0000,40,50.3500,1,0,0,0,0,0,0,0,0,0,1,0,
207473248,2,5,2,1,1,0,1,3,1, ,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0, , ,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0, , , , ,0,0,0,1,100,0,0,3,33.3333,100, ,100,100,100,100,5,100.0000,100, , ,50,50,50,50,100,100,100,8,75.0000,100,100,100,50,100,100,6,91.6667,100,0,100,100, ,100,44,6,74.0000,100,60,100,100,100,100,6,93.3333,100,100,100, ,90,10,5,80.0000,0, ,0,2,0.0000,41,76.9268,0,0,0,0,1,1,0,0,0,0,1,0,
207606302,2,4,2,1,1,0,1,3,2, ,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0, , , ,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0, , , , ,0,0,0,1,100,0,0,3,33.3333,75, ,100,50,100,0,5,65.0000,100,100,0,0,0,50,25,0,100,50,10,42.5000,50,0,100,0,0,100,6,41.6667,0,0,0, ,100,50,33,6,30.5000,100,0,100,100,50,50,6,66.6667,50,50, ,25,20,50,4,42.5000,0, ,0,2,0.0000,42,44.1190,0,0,0,1,0,1,0,0,0,0,1,0,
207684833,2,7,3,2,1,0,1,3,5, ,4, , , ,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1, , ,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0, , , , ,0,0,0,1,100,0,0,3,33.3333,0, ,0, ,100,0,4,25.0000,100, ,100,20,0,50,50,100,100,0,9,57.7778,100,100,60,0,0,100,6,60.0000,100,100,0,0, ,50,33,6,47.1667,100,20,100,100,100,100,6,86.6667,75,100, ,75,40,10,4,56.2500,0, ,0,2,0.0000,40,52.7000,0,0,0,0,0,0,0,1,0,0,0,1,
207685612,2,1,2,1,1,0,1,3,1, ,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0, , ,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0, , , , ,0,0,0,1,100,0,0,3,33.3333,100, ,100,100,100,100,5,100.0000,100,100,100,90,0,50,50,100,100,50,10,74.0000,100,100,100,0,100,100,6,83.3333,100,100,100,100, ,100,44,6,90.6667,100,20,100,100,100,100,6,86.6667,75,100, ,75,50,10,4,58.7500,0, ,0,2,0.0000,42,74.7381,1,0,0,0,0,0,0,0,0,0,1,0,
207693172,2,4,2,1,1,0,1,3,5, ,4, , , ,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1, , ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0, , , , ,0,1,0,0,100,0,0,3,33.3333,0, ,0, ,100,0,4,25.0000,100,0,0,10,0,100,50,0,100,50,10,41.0000,100,100,40,0,0,100,6,56.6667,0,100,0,0, ,100,11,6,35.1667,100,20,50, ,100,100,5,74.0000,50,50, ,75,50,10,4,40.0000,0, ,50,2,25.0000,40,43.5250,0,0,0,1,0,1,0,0,0,0,1,0,
207704548,2,6,3,1,3,0,1,3,5, ,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0, , ,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0, , , , ,0,0,0,1,25,0,0,3,8.3333,0, ,100,100,100,0,5,60.0000,100, ,100,70,50,50,50,100,100,0,9,68.8889,100,100,40,0,100,100,6,73.3333,50,100,100,100, ,100,22,6,78.6667,100,60,50, ,100,100,5,82.0000,75,50, ,75,50,20,4,48.7500,0, ,0,2,0.0000,40,61.5500,0,0,0,0,0,0,1,0,0,0,0,1,
207707972,2,6,1,1,4,0,1,3,2, ,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0, , ,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,3,0.0000,75, ,100,100,100,100,5,95.0000,100,0,100,50,50,50,50,100,100,100,10,70.0000,100,100,60,50,100,100,6,85.0000,100,100,100,100, ,100,33,6,88.8333,100,40,100,100,100,100,6,90.0000,75,100,100, ,80,10,5,73.0000,100,100,25,3,75.0000,44,76.0909,0,0,0,0,0,0,1,0,0,1,0,0,
207754617,2,7,1,1,4,0,1,3,1, ,2,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0, , ,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0.0000,100, ,100,100,100,100,5,100.0000,50,100,100,10,50,25,25,50,50,50,10,51.0000,0,50,40,0,100,100,6,48.3333,0,50,100,50, ,50,33,6,47.1667,50,20,100,100,100,0,6,61.6667,50,0, ,75,20,30,4,25.0000,100,50,25,3,58.3333,43,51.8140,0,0,0,0,0,0,0,1,0,1,0,0,
