"IOBS","Lang_1","Lang_2","Eval_Brand","City","Q1a_1","Q1a_2","Q1a_3","Q1b_1","Q1b_2","Q1c_1","Q1c_2","Q1c_3","Q1c_4","Q1d_1","Q1d_2","Q1d_3","Q1d_4","Q2b_1","Q2b_2","Q2b_3","Q2c_1","Q2c_2","Q2c_3","Q2c_4","Q2d_1","Q2d_2","Q2d_3","Q2d_4","Q2e_1","Q2e_2","Q2e_3","Q2e_4","Q2f_1","Q2f_2","Q2f_3","Q2g_1","Q2g_2","Q2h_1","Q2h_2","Q2h_3","Q2h_4","Q2h_5","Q2h_6","Q2h_7","Q2h_8","Q2i_1","Q2i_2","Q2i_3","Q2k_1","Q2k_2","Q2k_3","Q2k_4","Q2k_5","Q3a_1","Q3a_2","Q3a_3","Q3b_1","Q3b_2","Q3b_3","Q3b_4","Q3d_1","Q3d_2","Q3d_3","Q3d_4","Q3d_5","Q3e_1","Q3e_2","Q3e_3","Q3e_4","Q3f_1","Q3f_2","Q3f_3","Q3f_4","Q3g_1","Q3g_2","Q3g_3","Q3g_4","Q3h_1","Q3h_2","Q3h_3","Q3i_1","Q3i_2","Q4a_1","Q4a_2","Q4a_3","Q4b_1","Q4b_2","Q4c_1","Q4c_2","Q4c_3","Q4c_4","Q4d_1","Q4d_2","Q4d_3","Q4d_4","Q4d_5","Q4d_6","Q4d_7","Q4d_8","Q4d_9","Q5a_1","Q5a_2","Q5a_3","Q5a_4","Q5a_5","Q5c_1","Q5c_2","Q5c_3","Q5c_4","Q5c_5","iQ1a","iQ1c","iQ1d","iInitial","wInitial","iQ2b","iQ2c","iQ2d","iQ2e","iQ2f","iQ2g","iQ2h","iQ2i","iQ2k","iCallAgent","wCallAgent","iQ3a","iQ3b","iQ3d","iQ3e","iQ3f","iQ3g","iQ3h","iQ3i","iCONSULTANTINTERACTION","wCONSULTANTINTERACTION","iQ4a","iQ4b","iQ4c","iQ4d","iCONSULTANTKNOWLEDGE","wCONSULTANTKNOWLEDGE","iQ5a","iQ5c","iClosing","wClosing","iOverallScore","wOverallScore","BNR1_1","BNR1_2","BNR1_3","BNR1_4","BNR1_5","BNR1_6","BNR1_7","BNR1_8","BNR1_9","BNR1_10","BNR1_11","BNR1_12"
207149190,0,1,7,2,0,1,0,0,1, , , , , , , , ,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1, , , , ,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,50, , ,1,50.0000,50,75,100,25,100,100,85,50,100,9,76.1111,100,50,150,100,25,25,50,100,8,75.0000,50,100, ,50,3,66.6667,100,75,2,87.5000,23,74.3478,0,0,0,0,0,0,0,1,0,0,1,0,
207407062,0,1,4,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,0,0,1,0,0,0,100,100,100,3,100.0000,100,100,100,50,100,100,45,50,75,9,80.0000,0, , , , , , , ,1,0.0000, , , , ,0, ,75,75,2,75.0000,15,78.0000,0,0,0,1,0,1,0,0,0,0,1,0,
207409883,0,1,1,2,1,0,0,0,1, , , , , , , , ,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,1,0,0,0,0,100, , ,1,100.0000,100,75,100,100,100,100,75,50,100,9,88.8889,0, , , , , , , ,1,0.0000, , , , ,0, ,100,100,2,100.0000,13,84.6154,1,0,0,0,0,0,0,0,0,0,1,0,
207466189,0,1,1,2,1,0,0,0,1, , , , , , , , ,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,0,0,1,100, , ,1,100.0000,100,75,100,25,100,100,40,50,100,9,76.6667,0, , , , , , , ,1,0.0000, , , , ,0, ,0,0,2,0.0000,13,60.7692,1,0,0,0,0,0,0,0,0,0,1,0,
207551905,0,1,5,2,1,0,0,0,1, , , , , , , , ,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,1,0,0,0,0,100, , ,1,100.0000,100,100,100,100,100,100,100,100,25,9,91.6667,0, , , , , , , ,1,0.0000, , , , ,0, ,100,100,2,100.0000,13,86.5385,0,0,0,0,1,1,0,0,0,0,1,0,
207553054,0,1,5,2,1,0,0,0,1, , , , , , , , ,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,1,0,0,0,100, , ,1,100.0000,100,50,100,0,100,100,30,100,75,9,72.7778,0, , , , , , , ,1,0.0000, , , , ,0, ,0,75,2,37.5000,13,63.8462,0,0,0,0,1,1,0,0,0,0,1,0,
207609448,0,1,4,2,1,0,0,0,1, , , , , , , , ,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,0,0,1,0,0,0,100, , ,1,100.0000,100,75,100,50,100,100,40,100,100,9,85.0000,0, , , , , , , ,1,0.0000, , , , ,0, ,75,75,2,75.0000,13,78.0769,0,0,0,1,0,1,0,0,0,0,1,0,
207685697,0,1,1,2,0,1,0,0,1, , , , , , , , ,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,1,0,0,0,0,1,50, , ,1,50.0000,100,100,100,50,100,100,40,0,100,9,76.6667,0, , , , , , , ,1,0.0000, , , , ,0, ,0,0,2,0.0000,13,56.9231,1,0,0,0,0,0,0,0,0,0,1,0,
207700517,0,1,7,3,1,0,0,0,1, , , , , , , , ,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1, , , , ,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,100, , ,1,100.0000,100,75,100,100,100,100,45,50,100,9,85.5556,100,50,200,100,25,100,100,100,8,96.8750,100,100, ,50,3,83.3333,75,75,2,75.0000,23,88.9130,0,0,0,0,0,0,0,1,0,0,0,1,
207706041,0,1,6,3,1,0,0,0,1, , , , , , , , ,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,0,0,1,0,0,0,100, , ,1,100.0000,100,100,100,25,50,0,45,100,100,9,68.8889,0, , , , , , , ,1,0.0000, , , , ,0, ,75,75,2,75.0000,13,66.9231,0,0,0,0,0,0,1,0,0,0,0,1,
